record_id,date,description,Matches Homeless/Encampment Filter,Camp,Vehicle,Individual,Active Camp,Abandoned Camp,Transient Camp,Abandoned Vehicle,Mental Health Crisis,Neutral Presence,Daily Activities,Using Drugs,geometry
31718,2021-10-20 11:36:00,"Large homeless camp, steeling items from home owners yards - please address.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.145746946 32.712700323)
36385,2023-08-09 06:29:00+00:00,8th Street clear of Transient Encampments,True,True,False,False,False,False,True,False,False,False,False,False,POINT (-117.1574866 32.7149875471331)
42478,2023-09-03 21:59:00+00:00,Drug activity in this tent individual don?t want to leave a lot of trash blocking sidewalk,True,True,False,True,False,False,False,False,False,False,False,True,POINT (-117.1565003 32.7175635171074)
32424,2021-11-14 12:16:00,Homeless sprawled to sidewalk again,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1540725 32.889100969)
20698,2021-07-26 10:01:00,Illegal encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-116.944141598 32.558137935)
54100,2023-11-01 02:48:00+00:00,There is a person experiencing homelessness who has set up camp behind a city electrical box on the sidewalk. It?s directly in front of 4950 Murphy Canyon Rd. but it?s on the sidewalk behind a large city utility box. I?ve circled the location in red on the Google map.,True,True,False,True,True,False,False,False,False,False,False,False,POINT (-117.1197669 32.8285134778993)
13623,2022-03-25 12:30:00,"Homeless person living in rv (residential area). They also have an additional vehicle with trailer they are living in (Gold Cadillac with black trailer). This person is rotating parking spots about once a week, same street corners.",True,True,True,True,False,False,False,False,False,False,False,False,POINT (-117.160461784 32.923703709)
6165,2020-05-11 15:12:00,Fire in homeless camp at 14th and j street.  Rp is sdfd.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.151922062 32.709372629)
17812,2022-04-22 13:39:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.158276806 32.714242517)
10417,2021-04-18 06:43:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.08281919 32.7930088410001)
18813,2021-07-09 07:39:00,Multiple encampments.....,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.146445662 32.7406865730001)
32918,2023-07-18 09:34:00+00:00,"Trash covering the sidewalk on the west side of 62nd , the length of the Vons , btwn El Cajon & Acorn. There was a tent left in the street. There is a rope tied between two trees. At least six people are living here for the past week.",True,True,False,False,False,False,False,True,False,False,False,False,POINT (-117.0641615 32.7614775735443)
27946,2023-06-18 18:13:00+00:00,Homeless encapment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1553401 32.7204772327527)
