cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
58,32.781987,-117.249194,209.131372,0.20913,2022/1/1,2022/3/29,2022,1,2022,3,87,12.43,84,9.8,74.2,8.57,106.294874,0.01,True,True,False,0.01,142,32.782796,-117.249174,0.0899,32.781516,32.783726,-117.251248,-117.248379,0.2457,0.2682
59,32.754241,-117.203806,167.013679,0.16701,2022/6/29,2022/7/12,2022,6,2022,7,13,1.86,49,2.2,46.8,22.28,105.290817,0.01,True,True,False,0.01,163,32.754589,-117.20452,0.0771,32.752918,32.755675,-117.205522,-117.202072,0.3066,0.3226
60,32.730571,-117.17105,73.614859,0.07361,2022/7/20,2022/8/23,2022,7,2022,8,34,4.86,62,4.49,57.51,13.81,105.260472,0.01,True,True,False,0.01,134,32.730443,-117.170673,0.038,32.730036,32.730816,-117.171704,-117.170264,0.0867,0.1347
61,32.712685,-117.140696,473.350317,0.47335,2022/1/26,2022/3/1,2022,1,2022,3,34,4.86,115,20.22,94.78,5.69,105.138445,0.01,True,True,False,0.01,697,32.712838,-117.142458,0.1657,32.708469,32.716906,-117.14575,-117.135681,0.9382,0.942
62,32.769839,-117.054962,270.525085,0.27053,2023/2/15,2023/6/6,2023,2,2023,6,111,15.86,131,26.93,104.07,4.86,103.20845,0.01,True,True,False,0.01,254,32.768946,-117.054439,0.1107,32.767504,32.771571,-117.057811,-117.052678,0.4522,0.4799
63,32.734446,-117.214894,71.696988,0.0717,2023/5/17,2023/5/30,2023,5,2023,5,13,1.86,36,0.78,35.22,45.92,102.558833,0.01,True,True,False,0.01,42,32.734125,-117.214897,0.0356,32.733811,32.734533,-117.215333,-117.214253,0.0803,0.101
64,32.714017,-117.156996,40.334941,0.04033,2024/7/24,2024/11/12,2024,7,2024,11,111,15.86,162,41.18,120.82,3.93,101.127831,0.01,True,True,False,0.01,437,32.713895,-117.15707,0.0152,32.713666,32.714315,-117.157416,-117.156572,0.0722,0.079
65,32.750753,-117.093906,184.038041,0.18404,2022/1/1,2022/7/12,2022,1,2022,7,192,27.43,174,47.1,126.9,3.69,100.54022,0.01,True,True,False,0.01,283,32.750255,-117.094183,0.0611,32.749232,32.75163,-117.095832,-117.092163,0.2666,0.3431
66,32.718701,-117.152536,260.435009,0.26044,2024/1/10,2024/3/19,2024,1,2024,3,69,9.86,221,71.48,149.52,3.09,100.040748,0.01,True,True,False,0.01,770,32.717905,-117.153896,0.1549,32.716379,32.720727,-117.155214,-117.150249,0.4835,0.4645
67,32.717818,-117.165326,109.458977,0.10946,2022/4/27,2022/5/24,2022,4,2022,5,27,3.86,55,3.52,51.48,15.64,99.759781,0.01,True,True,False,0.01,138,32.717893,-117.165574,0.0247,32.716918,32.718743,-117.166185,-117.164648,0.2029,0.1438
68,32.714536,-117.158274,14.911956,0.01491,2022/1/26,2022/3/22,2022,1,2022,3,55,7.86,86,11.41,74.59,7.54,99.12909,0.01,True,True,False,0.01,255,32.714536,-117.158293,0.0018,32.714405,32.714667,-117.158423,-117.158136,0.0291,0.0269
69,32.744547,-117.24783,63.299321,0.0633,2023/7/19,2023/7/25,2023,7,2023,7,6,0.86,31,0.47,30.53,65.42,99.081887,0.01,True,True,False,0.01,58,32.744585,-117.247886,0.0068,32.744011,32.74496,-117.248252,-117.247558,0.1055,0.0649
70,32.711298,-117.167635,67.823789,0.06782,2024/1/3,2024/1/23,2024,1,2024,1,20,2.86,49,2.63,46.37,18.64,96.987199,0.01,True,True,False,0.01,81,32.711156,-117.167707,0.0171,32.710716,32.711643,-117.168279,-117.167175,0.1031,0.1033
71,32.713345,-117.150825,96.11113,0.09611,2023/2/15,2023/6/27,2023,2,2023,6,132,18.86,242,86.38,155.62,2.8,93.791869,0.01,True,True,False,0.01,689,32.713407,-117.150484,0.0327,32.712525,32.714095,-117.1518,-117.149861,0.1746,0.1814
72,32.773992,-117.201775,160.683803,0.16068,2023/2/15,2023/3/21,2023,2,2023,3,34,4.86,41,1.6,39.4,25.63,93.603643,0.01,True,True,False,0.01,61,32.773768,-117.202114,0.0403,32.772868,32.775072,-117.202718,-117.200637,0.2451,0.1946
